table_index,table_caption,row,col,col_name,value
0,,0,0,Games,1985 London
0,,0,1,Gold,Hiroyuki Isagawa(JPN)
0,,0,2,Silver,Dave Mannering(GBR)
0,,0,3,Bronze,Eddie Pengelly(GBR)
0,,1,0,Games,1989 Karlsruhe
0,,1,1,Gold,Ventje Male(INA)
0,,1,2,Silver,Hiroyuki Isagawa(JPN)
0,,1,3,Bronze,Nanda Telambanua(INA)
0,,2,0,Games,1993 The Hague
0,,2,1,Gold,Gerard McNamara(IRL)
0,,2,2,Silver,Rodney Hypolite(GBR)
0,,2,3,Bronze,Sergey Zhuravliev(RUS)
0,,3,0,Games,1997 Lahti
0,,3,1,Gold,Alexey Sivokon(KAZ)
0,,3,2,Silver,Sutrisno Bin Darimin(INA)
0,,3,3,Bronze,Hu Chun-hsiung(TPE)
0,,4,0,Games,2001 Akita
0,,4,1,Gold,Alexey Sivokon(KAZ)
0,,4,2,Silver,Konstantin Pavlov(RUS)
0,,4,3,Bronze,Mikail Andruchin(RUS)
0,,5,0,Games,2005 Duisburg
0,,5,1,Gold,Ravil Kazakov(RUS)
0,,5,2,Silver,Hsieh Tsung-ting(TPE)
0,,5,3,Bronze,Dariusz Wszoła(POL)
0,,6,0,Games,2009 Kaohsiung
0,,6,1,Gold,Hsieh Tsung-ting(TPE)
0,,6,2,Silver,Arkadiy Shalokha(UKR)
0,,6,3,Bronze,Hassan El Belghiti(FRA)
0,,7,0,Games,2013 Cali
0,,7,1,Gold,Sergey Fedosienko(RUS)
0,,7,2,Silver,Sergey Gladkikh(RUS)
0,,7,3,Bronze,Hsieh Tsung-ting(TPE)
0,,8,0,Games,2017 Wroclaw
0,,8,1,Gold,Sergey Fedosienko(RUS)
0,,8,2,Silver,Hassan El Belghiti(FRA)
0,,8,3,Bronze,Charles Okpoko(USA)
0,,9,0,Games,2022 Birmingham
0,,9,1,Gold,Yusuke Satake(JPN)
0,,9,2,Silver,Hsieh Tsung-ting(TPE)
0,,9,3,Bronze,Hassan El Belghiti(FRA)
1,,0,0,Games,1985 London
1,,0,1,Gold,Claudino Ardini(ITA)
1,,0,2,Silver,Eddie Coppin(BEL)
1,,0,3,Bronze,Glen Waszkiel(AUS)
1,,1,0,Games,1989 Karlsruhe
1,,1,1,Gold,Alexander Ausby(USA)
1,,1,2,Silver,Floriano Domenici(ITA)
1,,1,3,Bronze,Michael Barber(USA)
1,,2,0,Games,1993 The Hague
1,,2,1,Gold,Frank Schramm(GER)
1,,2,2,Silver,His Yi-ching(TPE)
1,,2,3,Bronze,Walt Forsey(CAN)
1,,3,0,Games,1997 Lahti
1,,3,1,Gold,Triharyanto(INA)
1,,3,2,Silver,Dmitriy Soloviov(UKR)
1,,3,3,Bronze,Jan Wilczynski(POL)
1,,4,0,Games,2001 Akita
1,,4,1,Gold,Viktor Furazhkin(RUS)
1,,4,2,Silver,Andrey Tarasenko(RUS)
1,,4,3,Bronze,Sergey Mor(RUS)
1,,5,0,Games,2005 Duisburg
1,,5,1,Gold,Andrey Tarasenko(RUS)
1,,5,2,Silver,Viktor Furazhkin(RUS)
1,,5,3,Bronze,Jan Wegiera(POL)
1,,6,0,Games,2009 Kaohsiung
1,,6,1,Gold,Jaroslaw Olech(POL)
1,,6,2,Silver,Andriy Naniev(UKR)
1,,6,3,Bronze,Jan Wegiera(POL)
1,,7,0,Games,2013 Cali
1,,7,1,Gold,Jaroslaw Olech(POL)
1,,7,2,Silver,Kjell Egil Bakkelund(NOR)
1,,7,3,Bronze,José Castillo(ECU)
1,,8,0,Games,2017 Wroclaw
1,,8,1,Gold,Jaroslaw Olech(POL)
1,,8,2,Silver,Volodymyr Rysiyev(UKR)
1,,8,3,Bronze,Andriy Naniev(UKR)
1,,9,0,Games,2022 Birmingham
1,,9,1,Gold,Kjell Egil Bakkelund(NOR)
1,,9,2,Silver,Mykola Barannik(UKR)
1,,9,3,Bronze,Paul Knute Douglas(ISV)
2,,0,0,Games,1985 London
2,,0,1,Gold,Tony Stevens(GBR)
2,,0,2,Silver,Dave Caldwell(GBR)
2,,0,3,Bronze,John Neighbour(GBR)
2,,1,0,Games,1989 Karlsruhe
2,,1,1,Gold,Tony Stevens(GBR)
2,,1,2,Silver,Johnny Melander(SWE)
2,,1,3,Bronze,Jean-Pierre Brulois(FRA)
2,,2,0,Games,1993 The Hague
2,,2,1,Gold,Gene Bell(USA)
2,,2,2,Silver,Viktor Naleikin(UKR)
2,,2,3,Bronze,Brian Reynolds(GBR)
2,,3,0,Games,1997 Lahti
2,,3,1,Gold,Sturla Davidsen(NOR)
2,,3,2,Silver,Carl Christoffersen(NOR)
2,,3,3,Bronze,Janne Toivanen(FIN)
2,,4,0,Games,2001 Akita
2,,4,1,Gold,Daisuke Midote(JPN)
2,,4,2,Silver,Brad Gillingham(USA)
2,,4,3,Bronze,Jörgen Ljungberg(SWE)
2,,5,0,Games,2005 Duisburg
2,,5,1,Gold,Nikolay Suslov(RUS)
2,,5,2,Silver,Brian Siders(USA)
2,,5,3,Bronze,Ivan Freydun(UKR)
2,,6,0,Games,2009 Kaohsiung
2,,6,1,Gold,Sergiy Pevnev(UKR)
2,,6,2,Silver,Jacek Wiak(POL)
2,,6,3,Bronze,Anibal Coimbra(LUX)
2,,7,0,Games,2013 Cali
2,,7,1,Gold,Vadym Dovhanyuk(UKR)
2,,7,2,Silver,Anibal Coimbra(LUX)
2,,7,3,Bronze,Konstantin Lebedko(RUS)
2,,8,0,Games,2017 Wroclaw
2,,8,1,Gold,Sergii Bilyi(UKR)
2,,8,2,Silver,Dmitry Inzarkin(RUS)
2,,8,3,Bronze,Dmitry Semenenko(UKR)
2,,9,0,Games,2022 Birmingham
2,,9,1,Gold,Volodymyr Rysiyev(UKR)
2,,9,2,Silver,Ian Bell(ISV)
2,,9,3,Bronze,Danylo Kovalov(UKR)
3,,0,0,Games,2009 Kaohsiung
3,,0,1,Gold,Michael Tuchscherer(USA)
